userName,score,content
Simalakama Oppai,5,"Salah satu aplikasi termudah dan tersimpel. Pertahankan terus dan perbanyak voucher .LEBIH MUDAH LAGI CARA PENGGUNAANNYA AGAR YANG AWAM BISA MENGGUNAKANNYA....pertahankan kualitas,keamanan dan kemudahan THX"
Ripan Agustian,5,"Thanks Bukalapak, sangat memudahkan dalam berbelanja."
Chenny anggun LumbanTobing,5,Bukalapak Sangat membantu untuk membeli pelatihan. Saingat bermanfaat.
Agung Sawalludin,1,Pencairan saldo ke rek aj lama banget...ga kaya yg lain pada cepet.. Padahal saldo sendiri..
supri yadi,5,Sangat membantu dg cara yang simple dan mudah
Eddi Satria,1,"utang didesak terus, giliran udah dibayar tagihan dengan denda yg berlipat ganda,heh malah transaksi playlater gak bisa digunakan lagi.di aplikasi playlater nya aktif, tapi dipakai utk transaksi slalu dibatalkan."
Feri Fahrudin,1,"saya pakai dana payletter untuk dapatkan diskon 22,500. dengan minimal belanja 50rb Ternyata ada biaya administrasi penggunaan payletter 20rb/bln kalo begitu sama aja boong cuma 2rb perak doang diskonnya. Terus saya batalkan transaksi. saldo payletter balik tapi tapi voucher diskon hilang. dan biaya penggunaan tetap mesti bayar 20rb. mau bikin pengaduan tapi ngga ada live chat. harus hubungi lewat wa. ribet dan ngeselin banget ini aplikasi. Paraaaahhh....!!!"
Sri Pujiyanti,5,Apklikasi yang sangat membantu dan mempermudah
Irmayanti Sri Rejeki,5,"Belanja aman? Ya Bukalapak! Tingkatkan terus sistem keamanan nya, masih banyak penjual yang tidak dapat dipercaya."
Wawan Angkasawan,4,Aplikasi sudah bagus. 2019 fitur PIN belum ada keamanan transaksi kurang. 2022 fitur PIN untuk keamanan transaksi sdh ada. Tapi masih kurang fitur PIN tidak sampai ke pada login ke perangkat baru (login hanya dengan no hp dg kode rahasia yg dikirim sms rawan penipun)
Junendra family,2,"Aplikasi tidak memuaskan, setelah belanja,kode voucher tidak muncul."
Yuli Heryanti,5,Baik dan membantu!
anggie ang,1,"Untuk apaan di adakan fitur cicilan tanpa kartu kredit, kalo gak bisa di gunakan aplikasi aneh, pindah aja gunakan yg lain"
VHERHA ERMAWATI,3,"Makin kesini susah buat ganti nomor HP yang baru, syarat foto KTP juga selfi, dan buat screenshot top-up aja susah buat buka jadi males musti pakai aplikasi ini lagi. Gak kaya dulu. Gampang. Sekarang susah 😭😭😭"
Dewi 123,5,Terimakasih Bukalapak pembelian token sangat cepat...
Ankga Vr,1,"Mau komplen susah banget, payah. Beda sama TOKOPEDIA. Langsung di respon sama CS nya."
Deni Hermawan,5,"Terimakasih banyak Bukalapak sangat membantu sekali dengan adanya pembelian produk prakerja, mudah pembelian produk nya... terimakasih banyak Bukalapak"
Abdul Rosyad,1,Ga bisa hubungi CS. Livechat ga ada.suruh ngisi form tp ga ada. Gimana ini mau informasi tiap ada kendala.
Safitrisari Suryadi,5,"Menurut saya buka lapak sangat membantu mempermudah untuk belanja online,semoga kedepannya lebih baik lagi"
Moh As'ad,1,"gk mutu....fitur Varian saja gk ada. Ya namanya produk lokal, jadi nomor 1 kalau gk ada pesaingnya....kl ada pesaingnya langsung keok..."
Kang Chun,5,Pengalaman belanja yang luar biasa Terima kasih bukalapak
Putra Mentari,5,"Untuk berbelanjan online oke lah, meskipun blm sempurna, banyak pilihan, banyak metode pembayaran."
sugeng priyo widodo,4,"Ongkirnya kurang murah dibanding yg lain... Cek deh, Betul kan?????? Ongkirnya gak masuk akal... Ongkir sering lebih mahal drpd harga barang yg di beli... Gak seperti laz**a dan toko**dia, Ongkirnya murah gak pake rekayasa... Mulai bagus tak tambahin bintang nya jadi 4👍"
Herman Soegih,5,Tingkatkan pelayanan menjadi lebih baik
bayu yudiawan,5,Sangat responsif komprehensif...cepat
Asri W,5,"Sejauh ini sih bagus, dan semoga pelayanan selalu diutamakan ya. Makasih"
Moey M,3,"Ayo dong bukalapak perbanyak lagi promonya, potongan langsung, cashback, dll. Biar makin rame lagi 💪"
aliq qoniah,4,"Bagus tapi ongkirnya jangan mahal, karena aku sering belanja di lazada ongkirnya lebih murah. Jadi kalau kesini aku cuma lihat2 aja😁 belanjanya ke lazada 😀"
Alfarisyi farisyi,5,"Barang n proses nya bekualitas, program serbu nya gk asyik,"
febbyanti riani,5,"Aplikasi bagus,, belanja mudah"
Rizky Taufik,5,"Termurah terpercaya, tercepat, walaupun gratis ongkir"
Bang Rian,3,Kenapa ya di bukalapak untuk ganti nomor kok ribet sekali gak seperti di toko sebelah enak banget.
andy william,1,Parah bener aplikasi ni.. Mau live chat dengan CS bukalapak ja susah bener..antrian tinggal 1 ja tunggu 1 jam lebih gk sampe giliran sy.. Gimana kerjanya sistemnya...Perbanyakin donk CS nya bukalapak..biar gk lama tgu antrean..
Zaini Yacub,5,Aku puas atas pelayanan Bukalapak. Semoga tidak akan mengecewakan seterusnya dan seterusnya....
Gustuel Tamba,5,"sangat bagus, kompetitor, terbaik. very nice app"
bayu Erlangga,5,"Aplikasi nya bagus,dan sangat mudah digunakan, banyak voucher menarik"
LASKAR BINEWS,2,"Aplikasi Bukalapak semakin buruk. Aplikasi Bukalapak sy SDH berubah semakin buruk tampilan di TRANSAKSI tidak ada lagi menu cek barang dan. Buka bantuan tidak bisa lagi mengajukan bantuan. Cuma tulisannya aja yg tertera buka bantuan, pas diklik tidak bisa mengajukan pertanyaan. Coba rubah kembali lagi dari awal aplikasi Bukalapak spaya pelanggan Bukalapak mudah menggunakan🙏🙏🙏"
Neno Ay,1,"Kak mohon di tingkat kan lagi dong aplikasinya, masa mau bikin varian doang juga ribet harus ke laptop nggak bisa dihp🤦‍♀️ kalo dihp kan enak simple..."
Ginanjar Hadyansyah,1,"Beli pulsa pake metode bayar kredivo masa gak bisa mulu 🤣 ,katanya limit tidak cukup gila aja buat pulsa 50 k doang limit udh belasan juta masa gak cukup ,jangan karna punya paylater sendiri jadi gak boleh pake paylater yg lain ya kntol ,apk sampah otw hapus dah"
FL Channel,5,Tlong berikan klarifikasi yang jelas.terkait pesanan saya yang menggunakan pembayarn via paylater telah di batalkan dan barang tidak saya dapat .tapi kenapa ssya harus melunasi..kmren ada tnggpan klo sistem sudah terlanjur berjalan...dan pihak bukalapak mnyrankan agar ttp mmbyar tagihan tsb..dan nanti akan di kembalikan di dompet....tpi sampai saat ini uang saya blm d kembalikn..tlong kjlasan nya..saya mangalami kerugian
ilham ajaaa,5,mantap bukalapak semoga semakin maju dan berkembang
Wawan Wantoro,1,"Hati hati hanyak pegawai Bukalapak yang jadi pelapak penipuan saya kena tipu 3juta Bukalapak ini aplikasi yang sangat tidak di percaya teman saya juga banyak yang ketipu di dini aplikasi ini banyak penipu,, bagi yang mau install hati hati"
O2 ora omom,1,"hbis top up brizi, kaga bisa update, saldo berkurang, brizzi masih kosong, gmn nih!!!"
Riyanto Tsuryo,5,Terimakasih.. Segala transaksi pembelian proses nya sngt cepat. Bisa diandalkan 👍
Wahyu Eko,5,Barang bagus.. mudah dan simple
Fuad Hasim,5,"Sangat membantu untuk berbelanja online, terimakasih Bukalapak. 🙏"
Dhin Saepudin,1,"Saya sudah melakukan transaksi pembayaran ,,eh suruh teransaksi lagi ,,,apk GK bener emng ,,,padahal sudah ada bukti dari mbking ,,malah suruh foto SIM KTP sama kartu plajar"
HERI PRASETYO,5,mudah mudahan terus maju buka lapak
Sudi Anto,5,"Barang murah,dan pengiriman cepat,👍👍👍"
MASOK Pak,5,Bagus dan cepat
Dimas LopaLopo,2,"Apaan Gua Udh Berlangganan Dari Dulu Tapi Kenapa limit paylater gua dri dulu 500ribu saja. Beda dengan shoopepay bru berlangganan udh di kasih 1,5jt limit paylater"
Robin Son,5,"Sangat bagus,mudah dipahami dan mudah dimengerti"
AKUN Gacor,1,Sangat amat lemot dibanding LAZADA yg tidak kenal waktu tanggal merah ijo belang masa bodo gaspull kirim terus biar tsunami juga
Fahru Pitak,5,"Forceclose ketika mau konfir., mohon diperbaiki"
Saefu Rohman,2,"Disklemernya; ""Setelah 2x24 jam pengiriman selesai MENURUT PIHAK PENGIRIM, tidak ada komplain pembeli,maka dianggap selesai n uang akan diteruskan ke penjual. NYATANYA, AKSES UNTUK KOMPLAIN BUNTU, BUKABANTUAN,MESSENGER,FB,FEED EMAIL PADA GAK RRSPON. CAREFULL buat calon pembeli, klw sial ketemu masalah bs dibilang tdk ada tindakan solusi."
barista plesiran,5,Mantap. Sering sering free ongkir nya
Khairu Anwar,5,"Sangat puas belanja online di Bukalapak,,,,,,mudah,aman, nyaman"
Maspii Kampus,5,"Paling mantap belanja di Bukalapak Semuanya real,,,dan selalu sesuai dg foto,,,tak seperti pesaingnya,,,yg sering tak sesuai dg foto"
Dedi Sudrajat,5,Praktis dan cepat 👍
Benny Seiko Sitompul,1,"Sangat mengecewakan, saya beli barang tapi tidak bisa diselesaikan. Kasihan sama yang jualan atau pelapaknya"
Basuki Rahmat,5,Harga murah berkualitas suka bngt deh
haryono dewi,5,"bravo tidak rugi banyak untung hemat waktu,dan tenaga."
Ujs,5,"Membantu, bagus tampilannya juga pas collab sama kartu prakerja mantep banget"
arif rahman,5,Tambah mantap ada CODnya cuma ongkirnya sedikit beda sama MP yg lain
Deni alfian,5,Sengat membatu dan sangat menyenangkan
Pengguna Google,4,Aplikasi sdh bagus.... Mudah digunakan... Khusus unt BukaExpres Reg pada histori pengiriman FOTO PENERIMA BARANG HARUS DICANTUMPAN.. untuk mencegah kesalahpahaman pada penerimaan barang...mksh
triya pranata,5,baru nyoba sih semoga aja bagus dan real barang pelapaknya
Hidayat Ujang,4,Data track perjalanan terlalu lama update
Pardi Dion,1,"Masa batal otomatis terlalu lama, pembeli yg di rugikan"
R3Y Channel,1,"Kecewa, pindah jd pelapak digital, dengan sangat mudah, gak ada notif/peringatan apa2. Ternyata nyesel, g bisa jual non digital, gak bs balik ke pelapak nondigital. Statsu toko sudah besar. Setidak kasih notif dong, pas mau pindah, jd lebih oikir2 buat pertimbangkan."
Bukhori Muslim,5,Sangat membantu untuk mencari barang2 yg di inginkan dan mudah penggunaanya
Isti Ningsih,5,Menurut saya aplikasi ini memudahkan kita untuk belanja keperluan sehari-hari dan barang yang di beli dapet di jamin bagus kualitasnya dan saya tidak kapok untuk belanja di buka lapak
ANDY CANK,5,"Bagus sekali,pokok nya mantap,senang belanja di sini.semoga tambah maju bukalapak nya 👍👍👍"
Riki Film,1,Bukalapak dan lazada toko online paling pelit vocher wkwkwk ... Hanya Tokopedia da Shope lah paling mantap ...vocher ny gede banget transaksi cepat...
Rahmah Khulisan,5,platform jual beli yg sangat bagus
Danny Andria,3,"Sedikit masukan jika pengen maju, bukalapak harus berani kasih voucher diskon harga barang, diskon ongkir 10.000-15000, dan tambah gratis ongkir jika pembelian banyak. Untuk pelayanan cs harus lebih simpel, dan gak ribet."
Bang Alfian,3,Alhamdulillah sekarang app bukalapak udah ringan dan mudah digunakan. Terimakasih
baru b2,1,Dan yg bru bru ini saya alamin .barang sampai tidak sesuai . Mau aku coba di klaim. Kembali kan barang ongkir saya yg nanggung . Trus uang kita kembali ke dana cuma barang yg kita tukar doang. Ongkir nya gak dihitung ke dana. Pokonya merugi lahh stresss
klontong chenell,1,"Kenapa saya lasih bintang1?? Bukalapak itu aneh, meminta pembatan pesanan karena,lapak sudah hampir 24 jam belum di kirim, dan di chat pelapak gak aktif sudah 20 jam, dan di aplikasi tertulis menunggu persetujuan pelapak, niat hati si pingin cari solusi , masuk pusat bantuan , eh jawabannya sama aja , nunggu konfirmasi persetujuan pelapak, terus fungsinya CS apa? mungkin kalau lapak merespon, saya juga gak mengajukan pembatalan, mungkin juga kalau lapak aktif langsung di konfirmasi permint"
Gilang pramono seto,1,No recomeded.....masa pakai BL paylater....beli pulsa prabayar....50rb...kena cas biaya admin nya 20rb. Mendingan beli di konter biasa cuma kena 2rb doang. Nyesel gue
Ayudia Inara,3,"Aplikasinya sih bagus.. cuma saya mau minta tolong kepada pihak buka lapak.. tolong intruksikan lagi kepada seluruh pelapak,, klo setiap pengiriman harus di cek lagi,, soalnya banyak yg salah kirim/tertukar.."
endra respati,5,"Mantap, sesuai dan mengerti akan kebutuhan dengan kondiso saat ini."
Adika Saputra,1,Penjualan Buka Reksa belum di kirim tapi status sudah Selesai. Nomor rekening sudah benar tertulis. Kalo tidak di kirim juga ini namanya penggelapan
SUHENDY DOANK,5,Transaksi d bukalapak ga pernah d rugikan pokonya aman dan nyaman..kl bisa banyakin gratis ongkir kaya sebelah......mantap bukalapak semoga tambah maju.....
Y KuRniAwaN,2,Tampilan yg baru aga susah tracking pesanan... Klo dulu di detail transaksi udah ada...sekarang bingung mo ngeceknya dimana??!
Riski Roblox,5,Sering ada promo dan gratis ongkir ya
Suwandi Suwandi,3,"Saya jarang sekali belanja disini,kurang komplit ,mohon di tingkan untuk segi kwantitasnya .mohon maaf apabila ada ulasan saya yg kurang berkenan.🙏🙏"
Tarmizi Hardianto ibn Supianto,1,"Ga bisa login, formulir kehilangannya ga respon"
Pojol Pojol,5,"Semoga cepat selesai pelatihan prakerja saya,sukses terus buat bukalapak"
T.R. L,5,"Suka banget belanja di Bl Ngga mengecawakan Deskripsi penjual sesuai barang, MANTAP"
Maman Sarwita,4,Untuk awal saya kasih bintang empat dulu yaaa dan jika perkembanganya bagus maka akan ditaikan menjadi pul demikian yg penting jangan terlalu banyak apdat aplikasinya itu aja dari saya terimakasiih
Rahman nurhakim83,1,"Sepertinya BL.makin kemari semakin tidak profesional,banyaknya komplenan di ulasan apk kok gak di respon,.."
Sapu Jagat,4,"Jualan makin sepi, mudah2an kedepan nya bisa naik lagi bukalapak.."
Nelly Isbandiyah,1,Saya sudah pernah login dg email. Tp pswordny lupa. Aneh nya kenapa penggantian pasword otomatis ke nomer hp lama. Kbtulan nomer hp sudah tidak aktif dan ganti. Berkali2 sperti itu selalu ke no hp. Tidak ada pilihan penggantian pasword lewat email. Pdhl email masih aktif kenapa tidak lewat email saja. Kenapa harus terotomatis ke nomer hp. Tolong saya bagaimana cara perbaiki. Nomor sudah hilang tdk ada.
Arif Taufiq,1,"Ada aja seller yng ngga amanah,,ngaku ny lgi dikirim..masa sampe 1 bulan ngga nyampe"""
Andreadea Bae,5,Cukup puas belanja di bukalapak smoga sukses selalu kedepannya Bukalapak yes.
Dadang Suherman,1,Buka lapak sekarang tidak bagus. Pesanan saya di cancel oleh kurir karena hilang. Tapi duit blum balik sampe sekarang. Dan fitur pesanan saya tidak bisa lacak pesanan. Wissss angellllll
riski wijaya,1,"Kebanyakan embel2, biaya pelayanan lah, biaya admin lah, asuransi lah... sekarang bukalapak kebanyakan nyari untung, ga ada tanggung jawabnya, pembeli yg selalu di rugikan..."
Noerul Liya,5,"Ongkir nya murah, suka ada promo .. cuma sayangnya saya mengajukan paylater ditolak terus ..."
asefdesage tiawarman,1,"Aplikasi buruk pelayanan untuk ganti nomer telepon di akun sendiri aja ribet dan susah ,menu live chat nya gk muncul dengan jelas . Untuk pengaduan pun ribet gk ada live chat yg jelas, mau melampirkan dokumen saja eror terus . Uninstal lagi banyak marketplace lain yg lebih siap melayani"
Elza jumantoro,1,"Ribet mau ganti nomer HP juga, mau batalin pesanan juga gak bisa."
Akhmad Rifky,1,"Nomor whatsapp Info bukalapak kok gk bisa di hubungi sih. Selalu centang 1. Gimana cara keluar dari pelapak bukalapak?. Saya ingin keluar dan menghapus apk ini karena gk guna, saya kemarin masih bisa upload barang tapi semenjak saya aktifin jualan produk digital saya sekarang gk bisa jualan produk non digital."
ARIFIN HADI,5,cukup bermanfaat dan memudahkan para pengguna nya
Gigih Saputra,5,"Aplikasinya bagus, semoga bisa terus menggunakannya"
E Kusnadi,4,"sudah lebih baik, tingkatkan terus pelayanannya supaya lebih baik dan maksimal"
Sanusi Effendi,4,"Barang2nya lebih murah, transaksi lebih mudah"
Iswahyudi Kurniawan,5,Sangat suka belanja d sini mudah dan cepat
aswin 12,5,"Awalnya sih lumayan menjanjikan dan memuaskan. Tetapi ketika saya mengajukan kembali pembelian dan sudah di verifikasi pembayarannya, barang belum juga sampai batas waktu (tiga hari). Tolong dibantu dong BL, biar pengguna tidak kecewa atau di kecewakan, sehingga rentan akan pindah belanjanya. Terimakasih,"
Bambang Suliwa,5,"Belanja online selalu dibukalapak, banyak bonusnya, apalagi ada serbu harga 1 rupiah tp meleset terus..mungkin blm rejeki"
Trisno Wibowo,5,Belanja menyenangkan lebih cepat dari istimasi pengiriman
Ari Haryanti,5,"Ga pakai ribet, cepet respon ga rumit2 makin suka mulai belanja disini"
Puput Putri,1,Aplikasi terlemot bikin hp panas.tidak nyaman bikin pusing nungguin muter2 terus..ok Tokopedia SM shopee lebih enteng loading nya
Denny Marianto,5,"Simple untuk transaksinya, tetapi perlu ditingkatkan buat bisa seleksi pelapaknya supaya transaksi bisa lancar terus."
Arwin Arwin,1,Tidak bisa tambah produk di Varian mobile phone. Ribet jadi ketinggalan update terus dr marketplace sebelah. Lama lama AUTO PINDAH ke MP lain yg bisa update cepat.... Masa hanya bisa lewat PC / Laptop. Tidak canggih hari gini. Cuman Bukalapak az yg ga bisa. Hadeh.... Ketinggalan jauh ni.
AisyaSyifa Story,1,Ini kenapa ya kok saya tidak bisa masuk d fitur payletrnya..sblm jatuh tempo udh ga bisa masuk dan srkarng udh lbih dari jatuh tempo tetep ga bsa masuk..sya ga bisa liat tagihan dan bayarnya..padahl buka sya tidak mau membayar tpi sya ga bisa masuk ke fitunya..dan saya udh telfon csnya sampai saat ini masih tidak bisa masuk..gimana ini bukalapak
Aray Gina,3,Percuma ada paylater gak bisa dipake blanja khususnya pulsa data/token listrik.. Padahal saldo ada & gak ada cicilan yg blm dibayar
Oktoria Damayanti,5,Bukalapak dikenal dengan harga terjangkau dan proses cepat pokoknyuua ia teh best
antir black,1,"Ongkir mahal, tidak bisa bersaing dengan aplikasi sebelah"
Yus Firdaus,5,"Update terbaru Januari 2020, notifikasi di icon aplikasi tdk muncul. Notifikasi muncul cuma di email. Sehingga sya tdk tau ada pesan/ transaksi yg masuk kecuali membuka aplikasi. . Fitur tutup lapak bisa menyengsarakan yg py lapak, sebab stlh buka lagi jumlah tiap brg jd zero (kosong) sehingga harus recek kesedian brg ."
putro lakon,5,Cukup lengkap dan aplikasi nya mudah
harman dian,5,"aplikasi bagus dan baik,banyak voucher dan harga terjangkau serta banyak promo nya,,sering belanja hampir tiap hari akan tetapi limit ga pernah naik naik dr brp tahun2 pakai,limit tetap segitu terus..good job deh"
faris gojek,5,mantap..naikin dong paylater saya..kan ga pernah telat..mksh bukalapak
Indra Bozz,5,"Gk ada fitur live chat sma cust service nya, klau mau betanya tentang kendala prtanyaan yg di sediakan gk nyambung, mau nanyak apa tp 1 pn petnyaan nya gk ada dri msalah yg mau di tnya kn"
AKPER anak Perantauan,5,"Alhamdulillah sampai saat ini transaksi di bukalapak barang selalu sesuai dengan pesanan dan saya tidak pernah sampai complain dan return barang karena tidak sesuai dengan yang saya pesan...semoga pelayanan lebih baik untuk kedepannya,maju terus aplikasi Indonesia"
Muhammad Irawan As Shofa,5,barang cepat sampai & sesuai pesanan
aditya novi aryanto,5,Ok... Bnyk membantu... Saat ada keluhan dr pelapak bs menjembatani & memberi solusi terbaik...👍👍👍
Dede Official,3,Saya telah menghapus apk ini krena saat saya menggunakan kredivo bunganny gede jika di kemudian hari ada yg mngts nmakn saya saya akan lapr ke puhak yg berwjb
Muslim Albantani,5,"Cukup memuaskan, Semoga berkah selalu"
Asril Arifin,5,Sangat memuaskan belanja disini👍
Agus Wartono,5,Sangat Mudah dan cicilan barang sangat membantu consumen
elimer hutagalung,5,Pengiriman cepat dan banyak discount ! Sukses selalu.
Sahral Hidayat,1,"sudah 2 minggu saldo saya di bekukan sepihak sudah chat CSnya seperti tidak ada niat bantu selalu gagal verifikasi data yg di minta padahal data yg di minta sudah benar saya kirim, ini sama seperti penipuan saldo di telan aplikasi sungguh saya tidak iklas dunia akhirat, sangat kecewa !! Trauma sama aplikasi ini😌"
Topik Hidayat,5,"Banyak discon, tentunya belanja pasti dijamin aman juga."
Andra Pratama,5,Memudahkan pembeli dalam membeli barang yg sulit dicari di toko tertentu
Cipto official channel,5,Cocok banget buat pemula bisa dapet modal jualan Pulsa... Makasih buka lapak...👍👍👍👍👍👍😍😍😍😍😍
Orang Awam,4,"Aplikasi Macet2 minn ...tolongin dong..,!"
Sunarto Alfi,5,"Mantap, trs tingkatkan"
hermawan raditia,1,"Buka dompet saya di bekukan ,katanya 48 jam tapi udah 2 minggu kenapa masih di bekukan?????? Padahal saya transaksi gak macem macem, saya cuma isi saldo dana lewat bukalapak biar cepet, tapi malah di bekukan, mohon tindakan nya"
arief celluler,2,"tiap kali konfirmasi barang telah diterima, sekarang bukalapak maksa banget harus dengan ulasan. padahal itu hak preogratif dari pembeli untuk memberikan ulasan dilain hari, karena mungkin mau dicoba dulu dll. SAYA HARAP BUKA LAPAK MELAKUKAN UPDATE DAN MENGHAPUS PEMAKSAAN MENERIMA BARANG SEKALIGUS ULASAN BARANG SEDANGKAN KITA BARU SAJA MENERIMANYA"
hendi rustandi,5,Membantu menambah penghasilan dan mempermudah
Muhammad yusuf,2,"Beli pulsa disini memang proses nya cepat,tapi yg saya keluhkan payleter memiliki admin 20rb,itu menurut saya memberat kan,mana bisa untung pakai paylater buka lapak,semoga kedepan cs buka lapak menghilang kan admin 20rb,di paylaternya,terus dimodalin 1 jt,proses susah,ada fitur pinjam uang tapi tak ACC percuma,saya akan guna kan limit saya bila dihilang kan admin nya,plus bintang nya saya tambah 5,semoga kedepan ada perubahan kebijakan,biar kami pengguna semangat bertransaksi,di apk ini,,"
arsa joe,5,Mantap..selalu tingkatkan kualitas nya
Abdur Rohman,4,"Mantap sama sama merah, sama kualitasnya"
AR Elektronik,2,"Prosesnya kok tidak seperti dulu harus nunggu 1 hari, tolong deh saya bertahun tahun langganan di bukalapak, walaupun belanja tidak pernah banyak, tolong jadikan masukan"
Dede Suyatna,4,"Belanja ok ,tp lebih enak kalo gratis ongkir dan cod tanpa tambahan biaya"
Telaumbanua Desniwati,5,Sangat membantu dan cepat prosesnya
Nirma Muliati,5,Sebenar nya tempo kcepatan gk ky Shopee bisa d angsur bbrp bln. Tmbh lg notif pinjaman ada mulu pas d klik tdk dapat ajukan pinjmn... Ganggu bngt sumpah
Asmo Kumis,5,"Pengiriman cepat, dan barangnya bagus sudah di pake kencang, suaranya ngebas👍👍 Terimakasih buat semuanya🙏🙏"
Dede Muhibuddin,5,"Transaksi nyaman aman di Bukalapak,barang² besar mahal juga lengkap,seperti velk² mobil berbagai merk,laptop dsb"
yustinus kelik,5,Selama ini aplikasi Bukalapak menurut saya sangat memuaskan dalam bertransaksi.. semoga lebih baik dalam kedepan nya.. terimakasih..
Adririvaldi Ari,5,"Lumayan bagus, belanja slalu pas sesuai pesanan"
Cas Yadi,5,Aplikasi sangat Bagus dan bisa membantu 🙏🙏🙏
MUNI DW,5,Waktu datangnya pesanan sangat tepat waktu
jeje zd,1,"parah, cv sama seller pada lemot, ke gak niat kualan, pantes banyak yg uninstal apk bulapak"
Benie kristono,5,Menurut gua siih online shop terbaik.. Klo bisa bonus² buat pembeli lebih sering 👍🏼👍🏼
BOW SS 324,4,"Voucher dana deal yg di beli di dana aneh, pas checkout di bukalapak memotong harga, pas bayar ke dana tidak memotong harga, sangat di rugikan Rp 10.000"
Toki Antoni,4,"Splaylater saya kenapa gagal terus di aktifkan, wahai Bukalapak, gimana saya mau belanja terus susah di aktifkan, beda sama apl sebelah🥲🥲"
Andin__ Laros,5,Saya verifikasi email kenapa tidak menerima kode Verifikasi tolong mohon bantuannya🙏🙏🙏
Roy Oi,5,Aplikasi yg cukup bagus dan membantu.
raden den,5,"Untuk akses bagus, cuma aplikasi terasa berat"
Kurniawansyah Harahap,5,"Pengirimannya belanja online paling cepat, hari minggu barang tetap dikirim Sukses terus Bukalapak"
Ziandra,5,Mantap makin kumplit buat transaksi apa aja
Budi Anto,5,Makasih ya cepet banget pengiriman nya seller amana juga
Sigit Sudimas,2,paylatter tiap bulan ada biaya nya 20rb aneh bgt
Iqbal Iqbal,1,"Saya kecewa dengan bukalapak ,saya tidak dapat melakukan penjualan reksadana saya di bukareksa ,di suruh hubungi bukabantuan tapi tetap aja gx bisa"
Pengguna Google,5,"mantaaap... lebih mantap kalau saya bisa dapat serbuan 😁😁😁 Mau ganti Nomor Krn nomor yg lama sudah mati, ruang live chat nya dimatikan. Tidak bisa kirim dokumen dalam ruang Minta Bantuan"
Joko Triono,1,Sudah pakai search filter tapi gak berguna filternya. Trash
Rakhmani Sagan,5,"Bagus aplikasinya mudah, pengajuan komplain fair 👍"
Annisa Rahmawati,5,"Pionir e-commerce pertama selain tokped, mudah-mudahan rame lagi dan di tingkatan agar sama seperti e-commerce yg lain"
hitam berdarah,1,Eror ga bisa log in toko Setelah tutup toko malah ada sebagian barang yg muncul dan toko di cari di pencarian ga nampak
safitri alviana,4,Sangat suka karna ada pembayaran paylater .. Terima kasih
Timotius Jimmy,5,Belanja jadi mudah menyenangkan
Poetry Ditha,1,"Barang saya detailnya sudah dipick up, tapi menurut pelapak ga sampai"" yg pickup, tolong lah kerjasama dg kurir yg lancar, gimana ini barang saya?"
Ayu Kartika,5,"Aplikasinya bagus, sangat membantu saya dalam membeli pelatihan prakerja.."
Citra Hasan,1,gila pembayaran saya tidak di verifikasi duitnya kemana ????? 450.000 hati 2 kawan bila transaksi di bl
Rachman Hidayat,1,"Applikasi gak jelas, beli pulsa transaksi berhasil dan saldo di potong tetapi pulsa 2 hari ini belum masuk jg Mau komplin jawaban bot semua gak ada yg ngasih solusi Jatuhnya penipuan berkedok pulsa, tagihan jalan pulsa nya tidak masuk Di bubarkan saja kalau tidak bisa bikin applikasi !!! Saya ngerasa di rugikan !!! Pulsa saya mana woii !!! Tidak akan saya bayar tagihannya toh pulsa nya tidak masuk !!!!"
WAHYUDI NPWP,3,"Sy ada kendala melengkapi data akun dlm hal vetifikasi wktnya singkat dtg sms lambat jd sllu gagal, hanya di buka lapak sy temukan hal itu."
Astri Ana,5,"Bagus, mudah dan praktis"
Agus Rusmana,5,"Cepat, tepat, dan akurat pesanan ya sesuai yg d pesan..."
Vivo V17 Pro,5,Terimakasih akhirnya dapat limit paylater. Alhamdulillah selalu terjaga dan tepat waktu pembayaran. Mohon ditingkatkan dong limitnya mentok di 500rb doang
Dedi Sutiadi,3,"Dulu saya pernah install aplikasi ini, dan sekarang install lagi, tapi saya heran verifikasi no slalu gagal, dan akhirnya saya ga bisa menyambungkan ke akun dana, alasan (no tlp sudah terkonfirmasi diakun lain) padahal di hp yang sama, tolong pencerahannya...🙏"
aLcheina safaRa,1,Uang udah terpotong tapi ngga ada konfirmasi barang kirim smpe skrg. Ngga tau mau komplain kemana.. susah bgt. Ngga chat langsung dgn cs nya
Aa Sumar,5,Adminnya paling bagus belanja berkali kali ga pernah komplin mantap
Muhammad Fahrudyy,1,voucher diskon apaan pas checkout malah ga kepotong APLIKASI OLSHOP TERBODOH yg pernah saya coba.
Allan Wenas,5,"Bukalapak sangat membantu sekali,, semoga lebih maju ke depan,,👍👍👍"
Jatu Ariani,5,"Tanggung jawab, pelayanan bagus, banyak promonya"
Hanafi GEP,5,Sangat bermanfaat mempertemukan penjual dan pembeli tanpa hambatan jarak dan waktu...simpel dan membantu bgt...thx bukalapak
Priyo Utomo,5,saya cuma menggunakan aplikasi belanja dari bukalapak krn mudah dan banyak ragam belanjaan ada di bukalapak..pokoknya mantaps👍
UMAR SAYUTI SYARIF,2,Busa update terapi tdk bisa instal
Siti Rohmah,5,"Barang sesuai gambar,kadang barang kosong dana tetap kembali"
