	informal	formal
2944	betulin	betulkan
2945	beud	banget
2946	beut	banget
2947	bg	bagi
2948	bgd	banget
2949	bgerak	bergerak
2950	bget	banget
2951	bgi	bagi
2952	bgini	begini
2953	bgitu	begitu
2954	bgks	bungkus
2955	bgm	bagaimana
2956	bgmn	bagaimana
2957	bgmna	bagaimana
2958	bgn	bangun
2959	bgni	begini
2960	bgntdr	bangun tidur
2961	bgs	bagus
2962	bgst	bangsat
2963	bgt	banget
2964	bgtu	begitu
2965	bgus	bagus
2966	bhay	selamat tinggal
2967	bhinekaan	bhineka
2968	bhinneka	bhineka
2969	bhkan	bahkan
2970	bhn	bahan
2971	bhong	bohong
2972	bhs	bahas
2973	bhw	bahwa
2974	bhwa	bahwa
2975	bhy	bahaya
2976	biarin	biarkan
2977	biarpn	biarpun
2978	bijimane	bagaimana
2979	bisenye	bisanya
2980	bistu	habis itu
2981	bisya	bisa
2982	biza	bisa
2983	bj	baju
2984	bju	baju
2985	bk	buku
2986	bkan	bukan
2987	bkap	ayah
2988	bkin	bikin
2989	bkl	bakal
2990	bkn	bukan
2991	bkna	bukannya
2992	bkp	ayah
2993	bkr	bakar
2994	bks	bungkus
2995	bl	beli
2996	blajar	belajar
2997	blakan	blak
2998	blg	bilang
2999	blh	boleh
3000	bli	beli
3001	blik	balik
3002	blingsatanya	belingsatan
3003	bljr	belajar
3004	blk	balik
3005	blkg	belakang
3006	blkng	belakang
3007	blkngny	belakangnya
3008	blm	belum
3009	bln	bulan
3010	blng	bilang
3011	blngn	bilangan
3012	blom	belum
3013	blon	belum
3014	bloon	belum
3015	bls	balas
3016	blum	belum
3017	blusukan	blusuk
3018	bndg	bandung
3019	bndr	bandar
3020	bner	benar
3021	bneran	benar
3022	bnget	banget
3023	bngks	bungkus
3024	bngng	bingung
3025	bngsa	bangsa
3026	bngt	banget
3027	bngun	bangun
3028	bnr	benar
3029	bnrbnr	benar benar
3030	bnrn	benaran
3031	bntar	sebentar
3032	bntr	sebentar
3033	bnyak	banyak
3034	bnyk	banyak
3035	bnykny	banyaknya
3036	bobo	tidur
3037	bobok	tidur
3038	bodo	bodoh
3039	bokap	ayah
3040	bokaps	ayah
3041	bokapz	ayah
3042	bole	boleh
3043	boong	bohong
3044	bosen	bosan
3045	boskuh	bosku
3046	boten	tidak
3047	bozen	bosan
3048	bozn	bosan
3049	bp	bapak
3050	bpak	bapak
3051	bpk	bapak
3052	br	baru
3053	brani	berani
3054	brantas	berantas
3055	brapa	berapa
3056	brarti	berarti
3057	brasa	berasa
3058	bravoo	bravo
3059	breake	istirahat
3060	breaking	istirahat
3061	brengsek	berengsek
3062	brg	barang
3063	brgkt	berangkat
3064	brharap	berharap
3065	brhsl	berhasil
3066	brikut	berikut
3067	bringas	beringas
3068	brisik	berisik
3069	brjln	berjalan
3070	brjuang	berjuang
3071	brkeliaran	berkeliaran
3072	brkfst	sarapan
3073	brkpntingan	berkepentingan
3074	brkumandang	berkumandang
3075	brmslh	bermasalah
3076	brngkt	berangkat
3077	brp	berapa
3078	brpa	berapa
3079	brpedoman	berpedoman
3080	brrti	berarti
3081	brs	beres
3082	brsal	berasal
3083	brsama	bersama
3084	brsamamu	bersamamu
3085	brshbt	bersahabat
3086	brsm	bersama
3087	brtahan	bertahan
3088	brthn	bertahan
3089	brtmn	berteman
3090	bru	baru
3091	bruh	buruh
3092	bryaw	sabar ya
3093	bryw	sabar ya
3094	bs	bisa
3095	bsa	bisa
3096	bsk	besok
3097	bsok	besok
3098	bsoq	besok
3099	bsr	besar
3100	bte	bosan
3101	btg	batang
3102	bth	butuh
3103	btl	betul
3104	btul	betul
3105	btull	betul
3106	buad	buat
3107	buatapa	buat apa
3108	buatin	buatkan
3109	bubarin	bubarkan
3110	bukabukaan	buka bukaan
3111	bukane	bukannya
3112	bukn	bukan
3113	buktiin	buktikan
3114	buktikan	buktikan
3115	buktikqn	buktikan
3116	bul	kibul
3117	bulshit	kibul
3118	buryam	bubur ayam
3119	buzer	buzzer
3120	buzzerahoaxsebarkanhoax	buzzer ahok sebar hoaks
3121	buzzerbuzzernya	buzzer buzzernya
3122	bw	bawa
3123	bwa	bawa
3124	bwaanx	bawaan
3125	bwh	bawah
3126	bwt	buat
3127	byak	banyak
3128	byk	banyak
3129	bynk	banyak
3130	byr	bayar
3131	bzen	bosan
3132	bzn	bosan
3133	cabut	pergi
3134	cagubnya	calon gubernurnya
3135	cahya	cahaya
3136	caiank	sayang
3137	caiyo	semangat
3138	cakep	cakap
3139	cantek	cantik
3140	capek	cape
3141	caturx	catur
3142	cayo	semangat
3143	cb	coba
3144	cecunguk2nya	cecunguk cecunguknya
3145	ceheheheh	hehe
3146	cekola	sekolah
3147	cekolah	sekolah
3148	celalaw	selalu
3149	celalu	selalu
3150	cemen	takut
3151	cemplungin	mencemplungkan
3152	cemungudh	semangat
3153	cemungut	semangat
3154	cemunguth	semangat
3155	centuryataumuniratauhambalang	century munir atau hambalang
3156	cepat2	cepat cepat
3157	cepet	cepat
3158	ceplas	ceplos
3159	ceppat	cepat
3160	cewe	cewek
3161	ciamik	indah
3162	ciap	siap
3163	ciayou	semangat
3164	cibuq	sibuk
3165	cie	wah
3166	ciee	wah
3167	cini	sini
3168	cino	cina
3169	citizens	warga kota
3170	ciyan	kasihan
3171	ciye	wah
3172	ciyus	serius
3173	ckck	wkwk
3174	ckp	cukup
3175	ckrg	sekarang
3176	ckup	cukup
3177	cling	bersih
3178	cll	selalu
3179	cllu	selalu
3180	cllw	selalu
3181	cm	cuma
3182	cma	cuma
3183	cman	cuma
3184	cmn	cuma
3185	cmpk	cempaka
3186	col	keren
3187	compares	membandingkan
3188	congrats	selamat
3189	congratulation	selamat
3190	corruptions	korupsi
3191	corruptors	koruptor
3192	cowo	cowok
3193	coz	soalnya
3194	cpat	cepat
3195	cpe	cape
3196	cpee	cape
3197	cpet	cepat
3198	cpt	cepat
3199	cptn	cepatan
3200	crt	cerita
3201	crying	menangis
3202	cs	rekan
3203	cth	contoh
3204	cukupsatuputaran	cukup satu putaran
3205	cuman	cuma
3206	cw	cewek
3207	cwe	cewek
3208	cwo	cowok
3209	d	di
3210	da	dan
3211	dah	sudah
3212	dalah	adalah
3213	dalem	dalam
3214	dann	dan
3215	dapa	ada apa
3216	dapah	ada apa
3217	dapet	dapat
3218	dapetin	mendapatkan
3219	daripaddatidda	dari pada tidak
3220	datangin	mendatangi
3221	dateng	datang
3222	daut	daud
3223	dblg	dibilang
3224	dblkng	dibelakang
3225	dbls	dibalas
3226	dbwt	dibuat
3227	dbyr	dibayar
3228	ddpn	di depan
3229	dduk	duduk
3230	de	deh
3231	demen	suka
3232	democrazy	demokrasi gila
3233	demodemo	demo demo
3234	demodemonov	demo november
3235	denger	dengar
3236	dengn	dengan
3237	depa	depan
3238	des	desember
3239	dewadewa	dewa dewa
3240	dftr	daftar
3241	dg	dengan
3242	dgn	dengan
3243	dgr	dengar
3244	dgrn	dengarkan
3245	dh	sudah
3246	dhewan	dewan
3247	diaa	dia
3248	diajakin	diajak
3249	dianutny	dianutnya
3250	diapain	diapakan
3251	dibelakanghari	di belakang hari
3252	dibiarin	dibiarkan
3253	dibobongin	dibodohi
3254	dibodohin	dibodohi
3255	dibohongin	dibohongi
3256	dibohonginataudibodohin	dibohongi atau dibodohi
3257	diboongin	dibohongi
3258	dibuatx	dibuatnya
3259	dibudigunawankan	di budi gunawankan
3260	dicuekin	dicueki
3261	didenger	didengar
3262	didengerin	didengarkan
3263	didiemin	didiamkan
3264	didlam	di dalam
3265	didzalimi	dizalimi
3266	die	dia
3267	diem	diam
3268	diem2	diam diam
3269	digembosin	digembosi
3270	diginiin	dibeginikan
3271	dijadiin	dijadikan
3272	dijatohin	dijatuhi
3273	dijdkn	dijadikan
3274	dikenyataanya	pada kenyataannya
3275	dikirain	dikiranya
3276	dikit	sedikit
3277	dimance	di mana
3278	dimandose	di mana sih
3279	dimans	dimana
3280	dimonitoring	dipantau
3281	dinaikin	dinaiki
3282	dinegri	di negeri
3283	dipake	dipakai
3284	dipemjara	di penjara
3285	diperes	diperas
3286	dipikirin	dipikirkan
3287	dipilkada	di pilkada
3288	diprose	diproses
3289	dirix	dirinya
3290	dirmh	di rumah
3291	disalahgunakan	disalah gunakan
3292	disamarinda	di samarinda
3293	disewotin	disewoti
3294	disumpahdisumpahin	disumpahi
3295	ditemenin	ditemani
3296	ditentukn	ditentukan
3297	ditetapknnya	ditetapkan
3298	ditrsangkakan	ditersangkakan
3299	dittapkn	ditetapkan
3300	diyem	diam
3301	dizhalimi	dizalimi
3302	dizholimi	dizalimi
3303	dizolimi	dizalimi
3304	djakarta	di jakarta
3305	djasatuputaran	di satu putaran
3306	djkt	di jakarta
3307	djl	di jalan
3308	djln	di jalan
3309	djmin	dijamin
3310	dkat	dekat
3311	dket	dekat
3312	dkijakarta	dki jakarta
3313	dkls	di kelas
3314	dkmps	di kampus
3315	dkmr	di kamar
3316	dkntr	di kantor
3317	dksh	dikasih
3318	dkt	dekat
3319	dl	dulu
3320	dlm	dalam
3321	dlmnya	dalamnya
3322	dlrng	dilarang
3323	dlu	dulu
3324	dluan	duluan
3325	dmana	di mana
3326	dmkn	dimakan
3327	dmn	di mana
3328	dmna	di mana
3329	dmnmn	di mana mana
3330	dmny	di mana
3331	dn	dan
3332	dng	dengan
3333	dngan	dengan
3334	dngar	dengar
3335	dnger	dengar
3336	dngerin	dengarkan
3337	dngn	dengan
3338	dngr	dengar
3339	doain	doakan
3340	doank	doang
3341	doi	dia
3342	dongok	dungu
3343	donlot	unduh
3344	dont	do not
3345	doyan	suka
3346	dp	uang muka
3347	dpan	depan
3348	dpet	dapat
3349	dpk	depok
3350	dpkrkn	dipikirkan
3351	dpn	depan
3352	dpnrmh	di depan rumah
3353	dpt	dapat
3354	dr	dari
3355	drg	dokter gigi
3356	drh	darah
3357	dri	dari
3358	drmh	di rumah
3359	drmn	dari mana
3360	drpd	daripada
3361	drtd	dari tadi
3362	drumah	di rumah
3363	dsar	dasar
3364	dsb	dan sebagainya
3365	dsblh	di sebelah
3366	dsini	di sini
3367	dsklh	di sekolah
3368	dsni	di sini
3369	dsnii	di sini
3370	dst	dan seterusnya
3371	dtetapak	ditetapkan
3372	dtg	datang
3373	dtgn	datang
3374	dtgny	datangnya
3375	dtmbh	di tambah
3376	dtmpt	di tempat
3377	dtng	datang
3378	dttapkn	ditetapkan
3379	dtuntut	dituntun
3380	duabelas	dua belas
3381	duaduanya	dua duanya
3382	duchh	aduh
3383	duh	aduh
3384	duit2	duit duit
3385	dukungahok	dukung ahok
3386	dukungfatwa	dukung fatwa
3387	dukungfatwamui	dukung fatwa mui
3388	duluan	lebih dahulu
3389	duluw	dahulu
3390	dunk	dong
3391	durung	belum
3392	dy	dia
3393	dya	dia
3394	dzolim	zalim
3395	dzolimi	dizalimi
3396	ea	iya
3397	eagles	elang
3398	ealah	iyalah
3399	ech	eh
3400	eehh	eh
3401	egak	tidak
3402	egh	eh
3403	ehh	eh
3404	ekong	kakek
3405	elech	alah
3406	elee	alah
3407	elektibilitas	elektabilitas
3408	elit	elite
3409	elo	kamu
3410	elu	kamu
3411	eman	sayang
3412	emang	memang
3413	emangnya	memangnya
3414	emank	memang
3415	emg	memang
3416	emng	memang
3417	en	dan
3418	ending	akhir
3419	endingnya	akhirnya
3420	engga	tidak
3421	enggak	tidak
3422	enjarakanahok	penjarakan ahok
3423	enk	enak
3424	entar	nanti
3425	ente	kamu
3426	entee	kamu
3427	erti	mengerti
3428	esbeye	susilo bambang yudhoyono
3429	eskrim	es krim
3430	eteb	bosan
3431	everythings	segalanya
3432	faham	paham
3433	fanati	fanatik
3434	fb	facebook
3435	fcked	fuck
3436	fears	fear
3437	feb	februari
3438	fikir	pikir
3439	fikiran	pikiran
3440	finah	fitnah
3441	follback	ikuti
3442	follbek	ikuti
3443	followback	ikuti
3444	follower	pengikut
3445	followers	pengikut
3446	freeahok	free ahok
3447	futures	masa depan
3448	g	tidak
3449	ga	tidak
3450	gaada	tidak ada
3451	gabakal	tidak akan
3452	gaberani	tidak berani
3453	gabisa	tidak bisa
3454	gaboleh	tidak boleh
3455	gabut	kurang kerjaan
3456	gada	tidak ada
3457	gaenak	tidak enak
3458	gaikut	tidak ikut
3459	gajadi	tidak jadi
3460	gajelas	tidak jelas
3461	gak	tidak
3462	gakuat	tidak kuat
3463	gakz	tidak
3464	galak2	galak galak
3465	galo	galau
3466	gamasuk	tidak masuk
3467	gamau	tidak mau
3468	ganbate	semangat
3469	ganyangahok	ganyang ahok
3470	ganyangcina	ganyang cina
3471	gapake	tidak pakai
3472	gapapa	tidak apa apa
3473	gapapalah	tidak apalah
3474	gapape	tidak apa
3475	gapedulisamastatus	tidak peduli dengan status
3476	gapernah	tidak pernah
3477	gapunya	tidak punya
3478	gara2	gara gara
3479	garangangarangan	garang
3480	garem	garam
3481	gasuka	tidak suka
3482	gatau	tak tau
3483	gataw	tak tau
3484	gatel	gatal
3485	gausah	tidak usah
3486	gawe	kerja
3487	gbr	gambar
3488	gdg	gudang
3489	gece	gerak cepat
3490	gelaja	gejala
3491	gelarperkarasudahdiumumkan	gelar perkara sudah umum
3492	gelik	geli
3493	gelo	gila
3494	gemes	gemas
3495	gengges	ganggu
3496	genks	geng
3497	gera	gerak
3498	gerja	gereja
3499	ggl	gagal
3500	ghiy	lagi
3501	gi	lagi
3502	gilak	gila
3503	gile	gila
3504	gilla	gila
3505	gimana	bagaimana
3506	gimanapun	bagaimanapun
3507	gin	begini
3508	ginian	beginian
3509	gitu	begitu
3510	gituan	begitu
3511	gituh	begitu
3512	gk	tidak
3513	gmana	bagaimana
3514	gmbr	gambar
3515	gmn	bagaimana
3516	gmna	bagaimana
3517	gmpg	gampang
3518	gmpng	gampang
3519	gni	begini
3520	gnti	ganti
3521	goblog	goblok
3522	goblog2in	goblok goblokin
3523	going	pergi
3524	gonna	pergi
3525	gosipin	menggosipkan
3526	gov	gubernur
3527	governo	gubernur
3528	governoor	gubernur
3529	governor	gubernur
3530	governour	gubernur
3531	govt	pemerintah
3532	goyangin	goyangkan
3533	gpl	tidak pakai lama
3534	gpny	tidak punya
3535	gpp	tidak apa apa
3536	gprnh	tidak pernah
3537	gr	gede rasa
3538	gr2	gara gara
3539	gratisan	gratis
3540	gregetan	geregetan
3541	gt	begitu
3542	gtu	begitu
3543	gtw	tak tau
3544	gua	gue
3545	gub	gubernur
3546	gubatauwalkot	gubernur atau walikota
3547	gubenur	gubernur
3548	guberenur	gubernur
3549	guemewek	gue mewek
3550	guoblog	goblok
3551	gurbenur	gubernur
3552	guwe	gue
3553	gw	gue
3554	gwe	gue
3555	gws	semoga lekas sembuh
3556	gx	tidak
3557	ha	apa
3558	habaib	habib
3559	hacur	hancur
3560	hadeh	aduh
3561	hadeuh	aduh
3562	hahaha	haha
3563	hahahahaha	haha
3564	hapal	hafal
3565	hape	telepon genggam
3566	happening	terjadi
3567	haq	hak
3568	haqq	hakiki
3569	hariharimu	hari harimu
3570	harini	hari ini
3571	haritoleransiinternasional	hari toleransi internasional
3572	haritoleransinasional	hari toleransi nasional
3573	hastag	tagar
3574	hastage	tagar
3575	haters	hater
3576	hatinye	hatinya
3577	hbd	selamat ulang tahun
3578	hbis	habis
3579	hbng	hubungi
3580	hbngn	hubungan
3581	hbs	habis
3582	hbskn	habiskan
3583	hdup	hidup
3584	hebatx	hebatnya
3585	helow	halo
3586	hepi	senang
3587	hepihepinya	senang senangnya
3588	hera	heran
3589	hestag	tagar
3590	hestagnya	tagarnya
3591	hesteg	tagar
3592	hestek	tagar
3593	hgga	hingga
3594	hha	haha
3595	hhaaa	haha
3596	hidupgwselo	hidup saya santai
3597	hilangin	hilangkan
3598	hkm	hukum
3599	hkum	hukum
3600	hlg	hilang
3601	hlm	halaman
3602	hlmn	halaman
3603	hmm	hem
3604	hny	hanya
3605	hnya	hanya
3606	hoak	hoaks
3607	hoaker	penyebar hoaks
3608	hoakers	penyebar hoaks
3609	hog	ahok
3610	hok	ahok
3611	hopeless	putus asa
3612	hormatin	hormati
3613	hotels	hotel
3614	hr	hari
3615	hrapan	harapan
3616	hrg	harga
3617	hrgny	harganya
3618	hri	hari
3619	hrs	harus
3620	hrsny	seharusnya
3621	hrsnya	seharusnya
3622	hrus	harus
3623	hsl	hasil
3624	hti	hati
3625	huah	wah
3626	huakbar	allahu akbar
3627	hub	hubung
3628	hubunganya	hubungannya
3629	huehue	hehe
3630	hukumanny	hukumannya
3631	hums	rumah
3632	humz	rumah
3633	huum	iya
3634	huwallohu	allahu
3635	hy	hanya
3636	idelete	hapus
3637	idup	hidup
3638	idung	hidung
3639	igat	ingat
3640	ihlas	ikhlas
3641	ijo	hijau
3642	iket	ikat
3643	iki	ini
3644	iklas	ikhlas
3645	iku	ikut
3646	ikutikutan	ikut ikutan
3647	ikutin	ikuti
3648	ilah	lah
3649	ilang	hilang
3650	ilangnya	hilangnya
3651	imbau	himbau
3652	imembela	saya membela
3653	imwith	saya dengan
3654	imwithahok	saya dengan ahok
3655	ind	indonesia
3656	indakk	tidak
3657	independen	bebas
3658	indo	indonesia
3659	indonesian	indonesia
3660	inget	ingat
3661	ingetin	ingatkan
3662	ingnikan	menginginkan
3663	ingt	ingat
3664	inibarujakarta	ini baru jakarta
3665	inideh	ini deh
3666	innocense	tidak bersalah
3667	inoleran	tidak toleran
3668	insallah	insyaallah
3669	insha	insya
3670	insyaa	insya
3671	insyaallah	insyaallah
3672	insyaalloh	insyaallah
3673	insyallah	insyaallah
3674	internationally	international
3675	isa	bisa
3676	iso	bisa
3677	istandwithahok	saya berdiri dengan ahok
3678	istrht	istirahat
3679	item	hitam
3680	its	ini
3681	itumah	itu mah
3682	iy	iya
3683	iyach	iya
3684	iyah	ya
3685	iyap	iya
3686	iyapz	iya
3687	iyoo	iya
3688	iyup	iya
3689	iyupz	iya
3690	iz	iya
3691	iza	iya
3692	izza	iya
3693	ja	saja
3694	jabaninn	layani
3695	jabatanya	jabatannya
3696	jadiin	jadikan
3697	jadijadian	jadi jadian
3698	jagan	jangan
3699	jakanjing	the jack anjing
3700	jakrta	jakarta
3701	jambaners	para jamban
3702	jamber	jam berapa
3703	jan	jangan
3704	janganmalasbaca	jangan malas baca
3705	janganmaudibohongipakaikatatersangka	jangan mau bohong pakai kata sangka
3706	jangas	jangan
3707	janjikapolri	janji kapolri
3708	jarot	djarot
3709	jatoh	jatuh
3710	jatohnya	jatuhnya
3711	jatuhataumundur	jatuh mundur
3712	jatuhin	jatuhi
3713	jau	jauh
3714	jd	jadi
3715	jdi	jadi
3716	jdkan	jadikan
3717	jdny	jadinya
3718	jdnya	jadinya
3719	jdwl	jadwal
3720	jebleh	jablay
3721	jejelin	menjejalkan
3722	jela	sajalah
3723	jem	jam
3724	jentelman	gentleman
3725	jesica	jessica
3726	jesika	jessica
3727	jg	juga
3728	jga	juga
3729	jgan	jangan
3730	jglh	jagalah
3731	jgn	jangan
3732	jgnjgn	jangan jangan
3733	jgnn	jangan
3734	jjurnnya	sejujurnya
3735	jk	jika
3736	jkarta	jakarta
3737	jkrt	jakarta
3738	jksaagung	jaksa agung
3739	jkt	jakarta
3740	jl	jalan
3741	jln	jalan
3742	jm	jam
3743	jmbt	jembut
3744	jmbtn	jembatan
3745	jml	jumlah
3746	jmlh	jumlah
3747	jmpt	jemput
3748	jmt	jumat
3749	jng	jangan
3750	jngan	jangan
3751	jngn	jangan
3752	joined	bergabung
3753	jokowinetral	jokowi netral
3754	jos	hebat
3755	jpn	jepang
3756	jrg	jarang
3757	jrng	jarang
3758	jt	juta
3759	jubirnya	jubir
3760	judulnye	judulnya
3761	jungkirbalik	jungkir balik
3762	jwb	jawab
3763	jwbn	jawaban
3764	jwbny	jawabannya
3765	kabeh	semua
3766	kacian	kasihan
3767	kaga	tidak
3768	kagak	tidak
3769	kai	kau
3770	kaka	kakak
3771	kalahin	kalahkan
3772	kale	kali
3773	kalee	kali
3774	kalo	kalau
3775	kalok	kalau
3776	kalu	kalau
3777	kamiahok	kami ahok
3778	kamiahokk	kami ahok
3779	kamibukan	kami bukan
3780	kamibukanahok	kami bukan ahok
3781	kamikamukitadanmereka	kami kamu kita mereka
3782	kamimanusia	kami manusia
3783	kammi	kami
3784	kampany	kampanye
3785	kampenye	kampanye
3786	kanapa	kenapa
3787	kandangin	kandangkan
3788	kapir	kafir
3789	kapolritangkapahok	kapolri tangkap ahok
3790	kaporli	kapolri
3791	karna	karena
3792	karo	sama
3793	karoke	karaoke
3794	kasalndukung	asal dukung
3795	kasi	kasih
3796	kasian	kasihan
3797	kasusunya	kasusnya
3798	katanya2	katanya katanya
3799	kau	kamu
3800	kaulahhh	kamulah
3801	kawalkasusahok	kawal kasus ahok
3802	kawall	kawal
3803	kawalterus	kawal terus
3804	kayanya	sepertinya
3805	kbakaran	kebakaran
3806	kbnykn	kebanyakan
3807	kbr	kabar
3808	kbtln	kebetulan
3809	kbusukan	kebusukan
3810	kbykn	kebanyakan
3811	kdg	kadang
3812	kdng	kadang
3813	kdpan	ke depan
3814	kdpn	ke depan
3815	kebawa	terbawa
3816	kebereraniammu	keberanianmu
3817	kebhinekaan	kebinekaan
3818	kebhinnekaan	kebinekaan
3819	kebhinnekaannya	kebinekaannya
3820	kebncian	kebencian
3821	kebon	kebun
3822	kecakepan	terlalu cakap
3823	kedholiman	kezaliman
3824	keepcalm	tetap tenang
3825	kegeeran	terlalu gede rasa
3826	keiknya	sepertinya
3827	kejadia	kejadian
3828	kejahatankejahatannya	kejahatan kejahatannya
3829	kejakarta	ke jakarta
3830	kejaliman	kezaliman
3831	kek	kayak
3832	kekecewan	kekecewaan
3833	keknya	sepertinya
3834	kekuasaa	kekuasaan
3835	kekuatanya	kekuatannya
3836	kelaperan	kelaparan
3837	kelar	selesai
3838	kelen	kalian
3839	keles	kali
3840	keliatan	kelihatan
3841	kelles	kali
3842	kemane	kemana
3843	kemaren	kemarin
3844	kembangin	kembangkan
3845	keminter	sok pintar
3846	kemnangan	kemenangan
3847	kenapah	kenapa
3848	kenape	kenapa
3849	kenaps	kenapa
3850	kenapz	kenapa
3851	kenceng	kencang
3852	kencengin	kencangkan
3853	kepengen	ingin
3854	kepntingn	kepentingan
3855	kepo	ingin tahu
3856	kera2	kera kera
3857	kerna	karena
3858	kesalahanya	kesalahannya
3859	kesampean	kesampaian
3860	kesel	kesal
3861	kesian	kasihan
3862	ketawa	tertawa
3863	ketidakadilan	ke tidak adilan
3864	keujanan	kehujanan
3865	keyen	keren
3866	kezholiman	kezaliman
3867	kga	tidak
3868	kgak	tidak
3869	kgk	tidak
3870	khabar	kabar
3871	khan	kan
3872	khanz	kan
3873	khsny	khususnya
3874	khwtr	khawatir
3875	killafah	khilafah
3876	kirain	kiraan
3877	kirimin	kirimkan
3878	kitaahok	kita ahok
3879	kite	kita
3880	kk	kakak
3881	kkk	kakak
3882	kkuasaan	kekuasaan
3883	kl	kalau
3884	klau	kalau
3885	klh	kalah
3886	kli	kali
3887	kliatannya	kelihatannya
3888	kliatn	kelihatan
3889	klmat	kalimat
3890	klmpk	kelompok
3891	klo	kalau
3892	klp	kelompok
3893	kls	kelas
3894	klu	kalau
3895	kluar	keluar
3896	kluarga	keluarga
3897	klw	kalau
3898	kmaren	kemarin
3899	kmbali	kembali
3900	kmenangn	kemenangan
3901	kmi	kami
3902	kmn	kemana
3903	kmna	kemana
3904	kmps	kampus
3905	kmr	kamar
3906	kmren	kemarin
3907	kmrin	kemarin
3908	kmrn	kemarin
3909	kmu	kamu
3910	kmunduran	kemunduran
3911	kn	kan
3912	kna	kena
3913	knapa	kenapa
3914	knl	kenal
3915	knows	tahu
3916	knp	kenapa
3917	knpa	kenapa
3918	kntr	kantor
3919	knyng	kenyang
3920	ko	kok
3921	kodekeras	kode keras
3922	koentji	kunci
3923	kolojengking	kalajengking
3924	koment	komen
3925	komplek	kompleks
3926	koncox	teman
3927	konsen	konsentrasi
3928	konsititusi	konstitusi
3929	konslet	korsleting
3930	konstitusionalitas	konstitusi
3931	koq	kok
3932	korputor	koruptor
3933	kosan	indekos
3934	kouptor	koruptor
3935	kowe	kamu
3936	kpala	kepala
3937	kpan	kapan
3938	kpd	kepada
3939	kpda	kepada
3940	kpgn	ingin
3941	kpn	kapan
3942	kpngn	ingin
3943	kredibility	kredibilitas
3944	kren	keren
3945	krena	karena
3946	kresten	kristen
3947	krg	kurang
3948	krja	kerja
3949	krmh	ke rumah
3950	krn	karena
3951	krna	karena
3952	krng	kurang
3953	krnkebanykn	karena banyak
3954	krupuk	kerupuk
3955	ksh	kasih
3956	ksian	kasihan
3957	ksih	kasih
3958	ksmptn	kesempatan
3959	ksn	ke sana
3960	ksus	kasus
3961	kt	kita
3962	kta	kita
3963	ktauan	ketahuan
3964	ktdrn	ketiduran
3965	ktemu	ketemu
3966	ktika	ketika
3967	ktmpt	ke tempat
3968	ktmu	ketemu
3969	ktny	katanya
3970	ktnya	katanya
3971	ktr	kantor
3972	kudrat	kuadrat
3973	kudu	harus
3974	kui	itu
3975	kultiwiit	twit
3976	kuq	kok
3977	kurng	kurang
3978	kuwi	itu
3979	kuy	ayo
3980	kwal	kawal
3981	kwalitas	kualitas
3982	kwan	kawan
3983	kwwkwkwkwkwkwkkw	wkwk
3984	kya	kayak
3985	kyak	seperti
3986	kyaknya	sepertinya
3987	kyanya	sepertinya
3988	kyk	kayak
3989	kykny	sepertinya
3990	kyknya	sepertinya
3991	kyny	sepertinya
3992	kzl	kesal
3993	ladenin	meladeni
3994	laen	lain
3995	laki2	laki laki
3996	lakuin	lakukan
3997	lalulintas	lalu lintas
3998	lam	salam
3999	lambemu	mulutmu
4000	lambungkaan	lambungkan
4001	lambungkeun	lambungkan
4002	lanang	laki laki
4003	landasanya	landasannya
4004	lanjoot	lanjut
4005	lanjutkeun	lanjutkan
4006	lanjutt	lanjut
4007	laper	lapar
4008	laskarbanyuwangi	laskar banyuwangi
4009	lawa	lawan
4010	lawanlawannya	lawan lawannya
4011	lb	lembar
4012	lbh	lebih
4013	lbih	lebih
4014	leaders	pemimpin
4015	lebih2	lebih lebih
4016	leh	boleh
4017	lelaguan	mendengarkan lagu
4018	lemes	lemas
4019	lewatin	melewati
4020	lewatkan	melewati
4021	lg	lagi
4022	lgi	lagi
4023	lgkp	lengkap
4024	lgs	langsung
4025	lgsg	langsung
4026	lgsng	langsung
4027	lgsug	langsung
4028	lgsung	langsung
4029	lha	lah
4030	liat	lihat
4031	liatin	lihat
4032	lisanny	lisannya
4033	lkp	lengkap
4034	lm	lama
4035	lmyn	lumayan
4036	lndasan	landasan
4037	lngkp	lengkap
4038	lngsg	langsung
4039	lngsng	langsung
4040	lngsung	langsung
4041	lnjt	lanjut
4042	lnsg	langsung
4043	lnsng	langsung
4044	lo	kamu
4045	loe	kamu
4046	loh	lah
4047	lol	wkwk
4048	lom	belum
4049	lovers	pecinta
4050	lp	lupa
4051	lpngn	lapangan
4052	lpr	lapar
4053	lsg	langsung
4054	lu	kamu
4055	luarbiasa	luar biasa
4056	luchu	lucu
4057	lucu2an	lucu lucuan
4058	luh	kamu
4059	lum	belum
4060	lun	belum
4061	lurahataucamat	lurah atau camat
4062	luthu	lucu
4063	lvl	level
4064	lw	kamu
4065	lwt	lewat
4066	ma	sama
4067	maaci	terima kasih
4068	maacih	terima kasih
4069	maap	maaf
4070	maapin	maafkan
4071	mabok	mabuk
4072	mabu	mabuk
4073	madesu	masa depan suram
4074	maen	main
4075	maenan	mainan
4076	mager	malas gerak
4077	mah	adalah
4078	mahluk	makhluk
4079	mahokers	ahoker
4080	mahu	mau
4081	maidah	almaidah
4082	majuteruspantangmundur	maju terus pantang mundur
4083	makaci	terima kasih
4084	makana	makanya
